@relation 'snake_game-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R3-4,10,16-17'

@attribute snake_pos_x numeric
@attribute snake_pos_y numeric
@attribute food_pos_x numeric
@attribute food_pos_y numeric
@attribute food_side_y {UP,DOWN,EQUAL}
@attribute food_side_x {RIGHT,LEFT,EQUAL}
@attribute manhattan_distance numeric
@attribute large_snake numeric
@attribute right_safe {True,False}
@attribute left_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute cycle {True,False}
@attribute body_indirection {True,False}
@attribute previous_direction {UP,DOWN,LEFT,RIGHT}
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
270,260,40,210,UP,LEFT,280,45,True,True,True,False,False,False,UP,UP
10,320,10,460,DOWN,EQUAL,140,25,True,True,False,True,True,False,DOWN,DOWN
290,270,290,50,UP,EQUAL,220,42,True,True,True,False,False,False,UP,UP
200,10,400,20,DOWN,RIGHT,210,8,True,False,True,True,False,False,RIGHT,RIGHT
190,160,190,190,DOWN,EQUAL,30,19,True,True,False,True,False,False,DOWN,DOWN
310,70,310,120,DOWN,EQUAL,50,48,True,False,False,True,True,True,DOWN,DOWN
40,150,30,440,DOWN,LEFT,300,12,True,True,False,True,False,False,DOWN,DOWN
170,310,430,320,DOWN,RIGHT,270,46,True,False,True,True,True,False,RIGHT,RIGHT
130,210,130,70,UP,EQUAL,140,13,True,True,True,False,False,False,UP,UP
440,190,450,270,DOWN,RIGHT,90,16,True,True,False,True,False,False,DOWN,DOWN
50,420,210,440,DOWN,RIGHT,180,44,True,True,True,False,True,False,UP,UP
440,380,390,260,UP,LEFT,170,38,True,True,False,True,False,False,DOWN,DOWN
230,370,100,370,EQUAL,LEFT,130,9,False,True,True,True,True,False,LEFT,LEFT
350,310,340,300,UP,LEFT,20,5,False,True,True,True,True,False,LEFT,LEFT
340,150,450,270,DOWN,RIGHT,230,16,True,False,True,True,False,False,RIGHT,RIGHT
150,150,280,160,DOWN,RIGHT,140,32,True,False,True,True,True,True,RIGHT,RIGHT
50,70,400,20,UP,RIGHT,400,8,True,True,True,False,True,False,UP,UP
280,270,280,210,UP,EQUAL,60,17,True,True,True,False,True,False,UP,UP
410,240,370,230,UP,LEFT,50,50,True,False,True,True,True,False,RIGHT,RIGHT
50,310,430,320,DOWN,RIGHT,390,46,True,False,True,True,True,False,RIGHT,RIGHT
180,280,30,410,DOWN,LEFT,280,41,False,True,True,True,True,False,LEFT,LEFT
40,370,40,400,DOWN,EQUAL,30,39,True,True,False,True,True,False,DOWN,DOWN
230,430,310,120,UP,RIGHT,390,48,True,True,True,False,True,False,UP,UP
230,440,40,210,UP,LEFT,420,45,True,False,True,True,False,False,RIGHT,RIGHT
260,450,310,120,UP,RIGHT,380,48,False,True,True,True,False,False,LEFT,LEFT
380,220,150,260,DOWN,LEFT,270,21,True,True,False,True,True,False,DOWN,DOWN
30,280,30,410,DOWN,EQUAL,130,41,False,True,True,True,True,False,LEFT,LEFT
80,390,80,410,DOWN,EQUAL,20,34,False,True,True,True,False,False,LEFT,DOWN
70,270,80,410,DOWN,RIGHT,150,34,True,False,True,True,False,False,RIGHT,RIGHT
30,250,430,320,DOWN,RIGHT,470,46,True,True,False,True,True,False,DOWN,DOWN
170,40,120,50,DOWN,LEFT,60,27,False,True,True,True,True,False,LEFT,DOWN
290,160,290,50,UP,EQUAL,110,42,True,True,True,False,False,False,UP,UP
220,90,30,440,DOWN,LEFT,540,12,True,True,False,True,False,False,DOWN,DOWN
220,370,100,370,EQUAL,LEFT,120,9,False,True,True,True,True,False,LEFT,LEFT
110,360,100,50,UP,LEFT,320,52,False,True,True,True,False,False,LEFT,UP
40,240,30,440,DOWN,LEFT,210,12,True,True,False,True,False,False,DOWN,DOWN
340,180,170,100,UP,LEFT,250,6,True,True,True,False,True,False,UP,UP
50,240,40,240,EQUAL,LEFT,10,57,False,True,True,True,False,False,LEFT,LEFT
150,410,30,410,EQUAL,LEFT,120,41,True,True,True,False,True,True,UP,LEFT
30,240,460,440,DOWN,RIGHT,630,58,False,True,True,True,False,False,LEFT,LEFT
290,160,20,330,DOWN,LEFT,440,33,True,False,True,True,False,False,RIGHT,RIGHT
300,50,390,80,DOWN,RIGHT,120,55,True,False,True,True,False,False,RIGHT,RIGHT
200,40,120,50,DOWN,LEFT,90,27,False,True,True,True,True,False,LEFT,LEFT
290,420,360,430,DOWN,RIGHT,80,56,False,True,True,True,True,False,LEFT,DOWN
390,210,390,170,UP,EQUAL,40,49,False,True,True,False,True,True,UP,UP
140,390,80,410,DOWN,LEFT,80,34,False,True,True,True,False,False,LEFT,LEFT
440,10,190,190,DOWN,LEFT,430,19,False,True,True,True,False,False,LEFT,LEFT
130,50,180,360,DOWN,RIGHT,360,53,True,False,True,True,False,False,RIGHT,RIGHT
160,30,160,420,DOWN,EQUAL,390,43,False,True,True,True,False,False,LEFT,DOWN
170,370,100,370,EQUAL,LEFT,70,9,False,True,True,True,True,False,LEFT,LEFT
160,210,40,400,DOWN,LEFT,310,39,False,True,True,True,False,False,LEFT,LEFT
210,40,280,160,DOWN,RIGHT,190,32,True,False,True,True,True,False,RIGHT,RIGHT
40,160,30,440,DOWN,LEFT,290,12,True,True,False,True,False,False,DOWN,DOWN
400,450,380,200,UP,LEFT,270,59,False,True,True,True,False,False,LEFT,LEFT
160,120,120,70,UP,LEFT,90,31,False,True,True,True,False,False,LEFT,LEFT
330,150,450,270,DOWN,RIGHT,240,16,True,False,True,True,False,False,RIGHT,RIGHT
290,400,390,260,UP,RIGHT,240,38,True,True,True,False,True,False,UP,UP
450,280,280,210,UP,LEFT,240,17,True,True,False,True,False,False,DOWN,DOWN
150,370,160,420,DOWN,RIGHT,60,43,True,True,False,True,False,False,DOWN,DOWN
380,210,150,260,DOWN,LEFT,280,21,True,True,False,True,True,False,DOWN,DOWN
60,440,130,70,UP,RIGHT,440,13,True,False,True,True,False,False,RIGHT,RIGHT
200,70,50,250,DOWN,LEFT,330,7,True,True,False,True,False,False,DOWN,DOWN
370,240,370,230,UP,EQUAL,10,50,True,False,True,True,True,False,RIGHT,RIGHT
90,190,460,440,DOWN,RIGHT,620,58,True,False,True,True,True,False,RIGHT,RIGHT
