@relation snake_game

@attribute snake_pos_x NUMERIC
@attribute snake_pos_y NUMERIC
@attribute snake_pos_x_next NUMERIC
@attribute snake_pos_y_next NUMERIC
@attribute food_pos_x NUMERIC
@attribute food_pos_y NUMERIC
@attribute food_side_y {UP, DOWN, EQUAL}
@attribute food_side_x {RIGHT, LEFT, EQUAL}
@attribute manhattan_distance NUMERIC
@attribute next_manhattan_distance NUMERIC
@attribute large_snake NUMERIC
@attribute right_safe {True, False}
@attribute left_safe {True, False}
@attribute up_safe {True, False}
@attribute down_safe {True, False}
@attribute cycle {True, False}
@attribute body_indirection {True, False}
@attribute previous_direction {UP, DOWN, LEFT, RIGHT}
@attribute direction {UP, DOWN, LEFT, RIGHT}
@attribute score NUMERIC
@attribute next_score NUMERIC

@data
270,300,270,290,270,220,UP,EQUAL,80,70,4,False,True,True,True,False,False,LEFT,UP,41,40
270,300,270,290,270,220,UP,EQUAL,80,70,4,False,True,True,True,True,False,UP,UP,41,40
270,290,270,280,270,220,UP,EQUAL,70,60,4,True,True,True,False,True,False,UP,UP,40,39
270,290,270,280,270,220,UP,EQUAL,70,60,4,True,True,True,False,True,False,UP,UP,40,39
270,280,270,270,270,220,UP,EQUAL,60,50,4,True,True,True,False,True,False,UP,UP,39,38
270,280,270,270,270,220,UP,EQUAL,60,50,4,True,True,True,False,True,False,UP,UP,39,38
270,270,270,260,270,220,UP,EQUAL,50,40,4,True,True,True,False,True,False,UP,UP,38,37
270,270,270,260,270,220,UP,EQUAL,50,40,4,True,True,True,False,True,False,UP,UP,38,37
270,260,270,250,270,220,UP,EQUAL,40,30,4,True,True,True,False,True,False,UP,UP,37,36
270,260,270,250,270,220,UP,EQUAL,40,30,4,True,True,True,False,True,False,UP,UP,37,36
270,250,270,240,270,220,UP,EQUAL,30,20,4,True,True,True,False,True,False,UP,UP,36,35
270,250,270,240,270,220,UP,EQUAL,30,20,4,True,True,True,False,True,False,UP,UP,36,35
270,240,270,230,270,220,UP,EQUAL,20,10,4,True,True,True,False,True,False,UP,UP,35,34
270,240,270,230,270,220,UP,EQUAL,20,10,4,True,True,True,False,True,False,UP,UP,35,34
270,230,270,220,270,220,UP,EQUAL,10,0,4,True,True,True,False,True,False,UP,UP,34,134
270,230,270,220,270,220,UP,EQUAL,10,0,4,True,True,True,False,True,False,UP,UP,34,134
270,220,270,210,180,150,EQUAL,EQUAL,160,150,5,True,True,True,False,True,False,UP,UP,134,133
270,220,270,210,180,150,EQUAL,EQUAL,160,150,5,True,True,True,False,True,False,UP,UP,134,133
270,210,270,200,180,150,UP,LEFT,150,140,5,True,True,True,False,True,False,UP,UP,133,132
270,210,270,200,180,150,UP,LEFT,150,140,5,True,True,True,False,True,False,UP,UP,133,132
270,200,270,190,180,150,UP,LEFT,140,130,5,True,True,True,False,True,False,UP,UP,132,131
270,200,270,190,180,150,UP,LEFT,140,130,5,True,True,True,False,True,False,UP,UP,132,131
270,190,270,180,180,150,UP,LEFT,130,120,5,True,True,True,False,True,False,UP,UP,131,130
270,190,270,180,180,150,UP,LEFT,130,120,5,True,True,True,False,True,False,UP,UP,131,130
270,180,260,180,180,150,UP,LEFT,120,110,5,True,True,True,False,True,False,UP,LEFT,130,129
270,180,260,180,180,150,UP,LEFT,120,110,5,True,True,True,False,False,False,LEFT,LEFT,130,129
260,180,250,180,180,150,UP,LEFT,110,100,5,False,True,True,True,False,False,LEFT,LEFT,129,128
