@relation 'snake_game-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P20.0-weka.filters.unsupervised.attribute.Remove-R3-4,10,16-17-weka.filters.unsupervised.attribute.Remove-R1-4,8,13'

@attribute food_side_y {UP,DOWN,EQUAL}
@attribute food_side_x {RIGHT,LEFT,EQUAL}
@attribute manhattan_distance numeric
@attribute right_safe {True,False}
@attribute left_safe {True,False}
@attribute up_safe {True,False}
@attribute down_safe {True,False}
@attribute body_indirection {True,False}
@attribute previous_direction {UP,DOWN,LEFT,RIGHT}
@attribute direction {UP,DOWN,LEFT,RIGHT}

@data
DOWN,RIGHT,110,True,True,False,True,False,DOWN,DOWN
UP,LEFT,300,True,False,True,True,False,RIGHT,UP
UP,RIGHT,80,True,True,True,False,False,UP,UP
UP,RIGHT,350,True,True,True,False,False,UP,UP
UP,LEFT,120,False,True,True,True,False,LEFT,LEFT
DOWN,LEFT,430,False,True,True,True,False,LEFT,LEFT
EQUAL,LEFT,160,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,120,True,False,True,True,False,RIGHT,RIGHT
UP,EQUAL,10,True,True,True,False,False,UP,UP
EQUAL,RIGHT,120,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,240,False,True,True,True,False,LEFT,LEFT
UP,LEFT,200,True,True,False,True,False,DOWN,DOWN
DOWN,LEFT,60,False,True,True,True,False,LEFT,LEFT
EQUAL,LEFT,160,False,True,True,True,False,LEFT,LEFT
DOWN,RIGHT,170,True,False,True,True,False,RIGHT,RIGHT
UP,RIGHT,70,True,False,True,True,False,RIGHT,UP
UP,LEFT,280,True,True,True,False,False,UP,UP
DOWN,LEFT,410,True,True,False,True,False,DOWN,DOWN
UP,LEFT,260,True,True,True,False,False,UP,UP
EQUAL,EQUAL,70,True,False,True,True,False,RIGHT,RIGHT
DOWN,LEFT,190,False,True,True,True,False,LEFT,LEFT
DOWN,LEFT,520,True,True,False,True,False,DOWN,DOWN
DOWN,EQUAL,300,True,True,False,True,False,DOWN,DOWN
UP,LEFT,360,False,True,True,True,False,LEFT,LEFT
UP,RIGHT,100,True,True,True,False,False,UP,UP
UP,LEFT,70,False,True,True,False,False,UP,UP
DOWN,EQUAL,20,True,True,False,True,False,DOWN,DOWN
DOWN,EQUAL,30,True,True,False,True,False,DOWN,DOWN
